구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
분당구,제과점영업,파리바케트오리역지점,2004-07-08,영업중,-,-,-,-,51.86,"경기도 성남시 분당구 구미동 185-5번지 동아그린프라자 1층 102,105,112호","경기도 성남시 분당구 성남대로 30, 1층 102,105,112호 (구미동, 동아그린프라자)",2021-03-31
분당구,제과점영업,프랑제리 NC 야탑점,2018-12-27,영업중,-,-,-,-,64.35,경기도 성남시 분당구 야탑동 357-1 NC백화점 지하1층 일부,"경기도 성남시 분당구 야탑로81번길 11, NC백화점 지하1(일부)층 (야탑동)",2021-03-31
분당구,제과점영업,베이커리 분당오리,2019-03-05,영업중,-,-,-,-,1.3,"경기도 성남시 분당구 구미동 159 월드쇼핑,삼성SDA","경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑,삼성SDA 지하1층 일부호 (구미동)",2021-03-31
수정구,제과점영업,마타디베이커리,2019-03-05,영업중,-,-,-,-,37.07,"경기도 성남시 수정구 창곡동 509번지 위례중앙역 중앙타워,1층 128호","경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 1층 128호 (창곡동)",2021-03-31
분당구,제과점영업,오클라서현점,2019-02-20,영업중,-,-,-,-,31.5,경기도 성남시 분당구 서현동 298-1번지 주영빌딩,"경기도 성남시 분당구 돌마로 482, 주영빌딩 1층 일부호 (서현동)",2021-03-31
수정구,제과점영업,가든한공방,2019-02-14,영업중,-,-,-,-,63.38,"경기도 성남시 수정구 복정동 620-2번지 가천대학교, MEP동 지하3층 B307호","경기도 성남시 수정구 성남대로 1342, 가천대학교 MEP동 지하3층 B307호 (복정동)",2021-03-31
수정구,제과점영업,마망베이커리&카페(1호점),2004-12-17,영업중,-,-,-,-,72.49,경기도 성남시 수정구 산성동 2156번지 2층,"경기도 성남시 수정구 희망로526번길 11, 2층 (산성동)",2021-03-31
분당구,제과점영업,헬로우,2019-01-09,영업중,-,-,-,-,37.84,경기도 성남시 분당구 정자동 25-1 킨스타워 338호,"경기도 성남시 분당구 성남대로331번길 8, 킨스타워 3층 338호 (정자동)",2021-03-31
분당구,제과점영업,롤링핀 서현점,2019-03-28,영업중,-,-,-,-,117.72,경기도 성남시 분당구 서현동 247-1 영건프라자,"경기도 성남시 분당구 황새울로360번길 22, 영건프라자 1층 104호, 105호, 106호, 107호, 108호 (서현동)",2021-03-31
분당구,제과점영업,던킨도너츠서현1호점,2002-08-22,영업중,-,-,-,-,29.76,경기도 성남시 분당구 서현동 93번지 현대카스올림픽골프파크 1층 121호,"경기도 성남시 분당구 중앙공원로40번길 4 (서현동,현대카스올림픽골프파크 1층 121호)",2021-03-31
분당구,제과점영업,위베이커리(oui bakery),2019-03-29,영업중,-,-,-,-,107.8,경기도 성남시 분당구 운중동 1019-8,"경기도 성남시 분당구 운중로166번길 4-2, 1층 (운중동)",2021-03-31
분당구,제과점영업,온실과자점,2019-03-11,영업중,-,-,-,-,24.3,경기도 성남시 분당구 구미동 30번지,"경기도 성남시 분당구 미금일로90번길 32, 지하1층 B107(일부)호 (구미동)",2021-03-31
수정구,제과점영업,브레드 마스터,2019-02-26,영업중,-,-,-,-,73.76,"경기도 성남시 수정구 창곡동 509번지 위례중앙역 중앙타워,지하1층 B18호","경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 지하1층 B18호 (창곡동)",2021-03-31
분당구,제과점영업,뚜레쥬르카페 서현역점,2019-03-07,영업중,-,-,-,-,204.75,경기도 성남시 분당구 서현동 262-2번지 분당문화센터,"경기도 성남시 분당구 황새울로 332, 분당문화센터 1층 일부호 (서현동)",2021-03-31
수정구,제과점영업,안가네 대추빵,2019-04-03,영업중,-,-,-,-,19.59,경기도 성남시 수정구 태평동 6345번지 1층(일부),"경기도 성남시 수정구 수정북로11번길 1, 1층 일부호 (태평동)",2021-03-31
수정구,제과점영업,여기서 만나요,2019-05-01,영업중,-,-,-,-,32.69,경기도 성남시 수정구 복정동 692-12번지 1층(일부),"경기도 성남시 수정구 성남대로1416번길 13, 1층 일부호 (복정동)",2021-03-31
분당구,제과점영업,베이커리 분당오리,2019-06-03,영업중,-,-,-,-,1.2,"경기도 성남시 분당구 구미동 159 월드쇼핑,삼성SDA","경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑,삼성SDA 지하1(일부)층 (구미동)",2021-03-31
수정구,제과점영업,얌얌브레드 롯데시네마점,2019-04-12,영업중,-,-,-,-,35.74,"경기도 성남시 수정구 신흥동 4124번지 1층,123호","경기도 성남시 수정구 산성대로 267, 1층 123호 (신흥동)",2021-03-31
분당구,제과점영업,라쏭케이크,2019-06-13,영업중,-,-,-,-,13.44,경기도 성남시 분당구 야탑동 310-8번지,"경기도 성남시 분당구 야탑로161번길 8-5, 1(일부)층 (야탑동)",2021-03-31
분당구,제과점영업,달콩,2019-04-25,영업중,-,-,-,-,31.48,경기도 성남시 분당구 금곡동 161번지 천사의도시1 오피스텔,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 2층 근218(일부)호 (금곡동)",2021-03-31
분당구,제과점영업,스토븐(STOVEN),2019-06-21,영업중,-,-,-,-,57.35,경기도 성남시 분당구 금곡동 165번지 천사의도시2 오피스텔,"경기도 성남시 분당구 돌마로 51, 천사의도시2 오피스텔 1층 101호 (금곡동)",2021-03-31
분당구,제과점영업,소이소이베이커리,2019-04-05,영업중,-,-,-,-,22.74,경기도 성남시 분당구 야탑동 297-1번지,"경기도 성남시 분당구 야탑로139번길 18-4, 1층 일부호 (야탑동)",2021-03-31
수정구,제과점영업,감성쿸쿸,2019-04-04,영업중,-,-,-,-,72.67,경기도 성남시 수정구 창곡동 525-5번지 지하1층(일부),"경기도 성남시 수정구 위례순환로4길 14, 지하1층 일부호 (창곡동)",2021-03-31
중원구,제과점영업,센아재빵집,2019-07-01,영업중,-,-,-,-,31.5,경기도 성남시 중원구 상대원동 2986-17번지 1층 일부,"경기도 성남시 중원구 희망로 332-1, 1층 일부 (상대원동)",2021-03-31
분당구,제과점영업,뚜레주르 카페판교역점,2019-07-01,영업중,-,-,-,-,153.27,"경기도 성남시 분당구 백현동 535번지 크래프톤타워, 1층 일부","경기도 성남시 분당구 분당내곡로 117, 크래프톤타워 1층 일부호 (백현동)",2021-03-31
분당구,제과점영업,폴콘 롯데백화점분당,2019-08-29,영업중,-,-,-,-,148.18,"경기도 성남시 분당구 수내동 14 롯데백화점, 지하2층 일부","경기도 성남시 분당구 황새울로200번길 45, 롯데백화점 지하2층 일부호 (수내동)",2021-03-31
분당구,제과점영업,러블리마카롱&러블리쥬스,2019-07-16,영업중,-,-,-,-,22.51,경기도 성남시 분당구 서현동 268-4 서현프라자 1층 106호 일부,"경기도 성남시 분당구 분당로53번길 14, 서현프라자 1층 106호 일부호 (서현동)",2021-03-31
분당구,제과점영업,단미,2019-07-17,영업중,-,-,-,-,17.76,경기도 성남시 분당구 정자동 130-3번지 한라프라자,"경기도 성남시 분당구 정자로76번길 11, 한라프라자 1층 102호 (정자동)",2021-03-31
분당구,제과점영업,순쌀빵,2019-07-22,영업중,-,-,-,-,51,경기도 성남시 분당구 구미동 174번지 농수산물종합유통센터,"경기도 성남시 분당구 성남대로43번길 11, 농수산물종합유통센터 1(일부)층 (구미동)",2021-03-31
수정구,제과점영업,봉빵갸또(bon pain gataeu),2017-10-10,영업중,-,-,-,-,50.88,"경기도 성남시 수정구 창곡동 530번지 위례 아트리버 푸르지오 1단지,1층139호(일부)","경기도 성남시 수정구 위례광장로 70, 1층 139(일부)호 (창곡동, 위례 아트리버 푸르지오 1단지)",2021-03-31
분당구,제과점영업,미스터브레딧 Mr.Bredit,2019-06-27,영업중,-,-,-,-,39.65,경기도 성남시 분당구 금곡동 161번지 천사의도시1 오피스텔,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 1층 111-2호 (금곡동)",2021-03-31
중원구,제과점영업,몽뻬르과자점,2019-07-19,영업중,-,-,-,-,71.68,경기도 성남시 중원구 성남동 2613번지 만오빌딩 1층 일부,"경기도 성남시 중원구 광명로 132, 만오빌딩 1층 일부 (성남동)",2021-03-31
중원구,제과점영업,베들레헴,2016-08-04,영업중,-,-,-,-,27.2,경기도 성남시 중원구 금광동 4699번지 1층 일부,"경기도 성남시 중원구 산성대로 448-1, 1층 일부호 (금광동)",2021-03-31
분당구,제과점영업,그레이스투미츄,2019-10-24,영업중,-,-,-,-,17.28,경기도 성남시 분당구 판교동 617-7번지 1층 일부,"경기도 성남시 분당구 운중로277번길 48, 1(일부)층 (판교동)",2021-03-31
분당구,제과점영업,고솝,2019-10-28,영업중,-,-,-,-,39.5,경기도 성남시 분당구 정자동 14-1번지 동양정자파라곤 2단지상가 1층 117호,"경기도 성남시 분당구 정자일로 220, 2단지상가 1층 117호 (정자동, 동양정자파라곤)",2021-03-31
분당구,제과점영업,오데뜨(Odette),2019-10-28,영업중,-,-,-,-,113.83,경기도 성남시 분당구 궁내동 344-1번지 1층,"경기도 성남시 분당구 궁내로 8, 1층 (궁내동)",2021-03-31
분당구,제과점영업,베떼엠(B.T.M.French bakery),2019-11-14,영업중,-,-,-,-,32.16,경기도 성남시 분당구 수내동 14번지 롯데백화점 지하1층 일부,"경기도 성남시 분당구 황새울로200번길 45, 롯데백화점 지하1(일부)층 (수내동)",2021-03-31
수정구,제과점영업,몽뻬르과자점 1,2019-11-08,영업중,-,-,-,-,83.96,"경기도 성남시 수정구 수진동 2936번지 동우빌딩,2층(일부)","경기도 성남시 수정구 수정로 90, 동우빌딩 2층 일부호 (수진동)",2021-03-31
수정구,제과점영업,다원 에프엔비 카페빵선생 청계산점,2019-12-23,영업중,-,-,-,-,209.1,경기도 성남시 수정구 상적동 336-2번지 지하1층~지상1층,"경기도 성남시 수정구 달래내로377번길 38, 지하1~지상1층 (상적동)",2021-03-31
수정구,제과점영업,베이커리 제작소,2020-02-14,영업중,-,-,-,-,25.93,"경기도 성남시 수정구 신흥동 2463-5번지 세이브존,지하1층(일부)","경기도 성남시 수정구 산성대로 337, 세이브존 지하1층 일부호 (신흥동)",2021-03-31
수정구,제과점영업,브래드 구일(Bread 91),2020-02-14,영업중,-,-,-,-,41.44,경기도 성남시 수정구 고등동 594-7번지 1층(일부)101호,"경기도 성남시 수정구 청계산로1길 11, 1층 일부호 (고등동)",2021-03-31
분당구,제과점영업,플레어비 현대백화점판교점,2020-02-12,영업중,-,-,-,-,,경기도 성남시 분당구 백현동 541번지 현대백화점 판교점,"경기도 성남시 분당구 판교역로146번길 20, 현대백화점 판교점 지하 1층 일부호 (백현동)",2021-03-31
분당구,제과점영업,고래제과,2020-02-03,영업중,-,-,-,-,,경기도 성남시 분당구 정자동 141-15번지,"경기도 성남시 분당구 불정로71번길 3, 1층 일부호 (정자동)",2021-03-31
분당구,제과점영업,티티팬 서현점,2020-01-30,영업중,-,-,-,-,,경기도 성남시 분당구 서현동 94번지 현대근린상가,"경기도 성남시 분당구 중앙공원로40번길 8, 현대근린상가 1층 141호 (서현동)",2021-03-31
분당구,제과점영업,블록베이커리 야탑직영점,2020-01-31,영업중,-,-,-,-,0,경기도 성남시 분당구 야탑동 533-1번지 제일빌딩,"경기도 성남시 분당구 판교로 431, 제일빌딩 1층 3호 (야탑동)",2021-03-31
수정구,제과점영업,뚜레쥬르 위례호반,2017-02-07,영업중,-,-,-,-,102,"경기도 성남시 수정구 창곡동 513-4 104호,105호(창곡동,신성위캐슬타워)","경기도 성남시 수정구 위례동로 135, 1층 104,105호 (창곡동, 신성위캐슬타워)",2021-03-31
중원구,제과점영업,파리바게트모란점,1998-08-17,영업중,-,-,-,-,100,경기도 성남시 중원구 성남동 3491번지 1층,"경기도 성남시 중원구 성남대로1148번길 4, 1층 (성남동)",2021-03-31
수정구,제과점영업,파리바게트성남시청점,1998-09-02,영업중,-,-,-,-,74.08,경기도 성남시 수정구 신흥동 5525번지 1층,"경기도 성남시 수정구 수정로 170 (신흥동,1층)",2021-03-31
중원구,제과점영업,빵집,1995-11-10,영업중,-,-,-,-,28.5,"경기도 성남시 중원구 성남동 3826번지 ,1층","경기도 성남시 중원구 제일로43번길 11, 1층 (성남동)",2021-03-31
분당구,제과점영업,샹피니과자점,1996-01-29,영업중,-,-,-,-,59.22,경기도 성남시 분당구 수내동 53 파크타운주상복합상가지층106.107.125.126.69호,"경기도 성남시 분당구 내정로174번길 42 (수내동,파크타운주상복합상가지층106.107.125.126.69호)",2021-03-31
분당구,제과점영업,보노과자점,1996-05-29,영업중,-,-,-,-,98.37,경기도 성남시 분당구 구미동 203-1 관보쇼핑1층 105호,"경기도 성남시 분당구 구미로 60, 1층 105호 (구미동, 관보쇼핑)",2021-03-31
분당구,제과점영업,파리바게뜨 분당수내점,2003-11-03,영업중,-,-,-,-,59.2,경기도 성남시 분당구 수내동 7-8번지 광진빌딩 105호,"경기도 성남시 분당구 황새울로258번길 36 (수내동,광진빌딩 105호)",2021-03-31
분당구,제과점영업,아도라케익,2017-04-19,영업중,-,-,-,-,53.41,경기도 성남시 분당구 정자동 174-1번지 분당더샾스타파크 상가동 2층 지-06호,"경기도 성남시 분당구 정자일로 121 (정자동, 분당더샾스타파크 상가동 2층 지-06호)",2021-03-31
수정구,제과점영업,와글쏭,2017-04-21,영업중,-,-,-,-,71.96,경기도 성남시 수정구 창곡동 549-8번지 지층,"경기도 성남시 수정구 위례서일로3길 10, 지층 (창곡동)",2021-03-31
분당구,제과점영업,다문제과점,2017-04-24,영업중,-,-,-,-,51.78,경기도 성남시 분당구 판교동 614-2번지 1층 일부,"경기도 성남시 분당구 운중로225번길 17-10 (판교동, 1층 일부)",2021-03-31
분당구,제과점영업,나폴레옹과자점,2017-05-01,영업중,-,-,-,-,127.18,경기도 성남시 분당구 수내동 14번지 지하1층 일부,"경기도 성남시 분당구 황새울로200번길 45 (수내동, 지하1층 일부)",2021-03-31
중원구,제과점영업,독일빵집,1983-07-05,영업중,-,-,-,-,,경기도 성남시 중원구 상대원동 2995-26번지,경기도 성남시 중원구 희망로 390 (상대원동),2021-03-31
분당구,제과점영업,파리바게뜨분당정자점,2002-12-24,영업중,-,-,-,-,69.3,경기도 성남시 분당구 정자동 127-1 금곡프라자 1층 103호,"경기도 성남시 분당구 내정로 29 (정자동, 금곡프라자 1층 103호)",2021-03-31
분당구,제과점영업,파리바게트분당시범단지점,2009-04-24,영업중,-,-,-,-,110.96,경기도 성남시 분당구 서현동 95번지 분당우성프라자 1층105-2호,"경기도 성남시 분당구 돌마로 481 (서현동,분당우성프라자 1층105-2호)",2021-03-31
분당구,제과점영업,블레도르,2013-01-29,영업중,-,-,-,-,52.08,경기도 성남시 분당구 백현동 560번지 1층 일부,"경기도 성남시 분당구 판교역로2번길 40 (백현동, 1층 일부)",2021-03-31
분당구,제과점영업,도쿄팡야 판교도서관점,2013-02-04,영업중,-,-,-,-,147.07,"경기도 성남시 분당구 판교동 618번지 지하1층, 지상1층","경기도 성남시 분당구 운중로277번길 59 (판교동, 지하1층, 지상1층)",2021-03-31
수정구,제과점영업,이삭빵집,1998-12-18,영업중,-,-,-,-,26.73,경기도 성남시 수정구 수진동 4542-5번지 1층,"경기도 성남시 수정구 성남대로1221번길 14-1 (수진동,1층)",2021-03-31
중원구,제과점영업,하홍삼베이커리,1995-01-06,영업중,-,-,-,-,22.68,경기도 성남시 중원구 상대원동 289번지 (1층),"경기도 성남시 중원구 금상로 120-1, 1층 (상대원동)",2021-03-31
분당구,제과점영업,리마카롱,2008-12-16,영업중,-,-,-,-,42.59,경기도 성남시 분당구 금곡동 192번지 분당두산위브 106동 103호,"경기도 성남시 분당구 정자일로 55 (금곡동,분당두산위브 106동 103호)",2021-03-31
수정구,제과점영업,파리바게트(태평오거리점),2009-01-06,영업중,-,-,-,-,99.15,"경기도 성남시 수정구 태평동 3798번지 지하1층 일부, 1층 일부","경기도 성남시 수정구 남문로 66 (태평동, 지하1층 일부, 1층 일부)",2021-03-31
